25.69	25.75	25.85	26.01	26.21	26.45	26.72	27.02	27.32	27.62	27.90	28.14	28.34	28.48	28.55	28.55	28.48	28.34	28.14	27.90	27.62	27.32	27.02	26.72	26.45	26.21	26.01	25.85	25.75	25.69	
25.75	25.80	25.92	26.08	26.30	26.56	26.85	27.17	27.49	27.82	28.12	28.38	28.59	28.74	28.82	28.82	28.74	28.59	28.38	28.12	27.82	27.49	27.17	26.85	26.56	26.30	26.08	25.92	25.80	25.75	
25.85	25.92	26.05	26.24	26.48	26.78	27.11	27.47	27.84	28.21	28.55	28.85	29.09	29.26	29.35	29.35	29.26	29.09	28.85	28.55	28.21	27.84	27.47	27.11	26.78	26.48	26.24	26.05	25.92	25.85	
26.01	26.08	26.24	26.46	26.75	27.10	27.49	27.92	28.35	28.79	29.19	29.54	29.83	30.03	30.13	30.13	30.03	29.83	29.54	29.19	28.79	28.35	27.92	27.49	27.10	26.75	26.46	26.24	26.08	26.01	
26.21	26.30	26.48	26.75	27.10	27.51	27.98	28.49	29.02	29.53	30.01	30.44	30.78	31.02	31.14	31.14	31.02	30.78	30.44	30.01	29.53	29.02	28.49	27.98	27.51	27.10	26.75	26.48	26.30	26.21	
26.45	26.56	26.78	27.10	27.51	28.01	28.57	29.18	29.81	30.43	31.00	31.51	31.92	32.20	32.35	32.35	32.20	31.92	31.51	31.00	30.43	29.81	29.18	28.57	28.01	27.51	27.10	26.78	26.56	26.45	
26.72	26.85	27.11	27.49	27.98	28.57	29.24	29.96	30.70	31.44	32.12	32.72	33.20	33.54	33.72	33.72	33.54	33.20	32.72	32.12	31.44	30.70	29.96	29.24	28.57	27.98	27.49	27.11	26.85	26.72	
27.02	27.17	27.47	27.92	28.49	29.18	29.96	30.80	31.67	32.53	33.33	34.03	34.59	34.99	35.19	35.19	34.99	34.59	34.03	33.33	32.53	31.67	30.80	29.96	29.18	28.49	27.92	27.47	27.17	27.02	
27.32	27.49	27.84	28.35	29.02	29.81	30.70	31.67	32.67	33.65	34.57	35.37	36.02	36.48	36.71	36.71	36.48	36.02	35.37	34.57	33.65	32.67	31.67	30.70	29.81	29.02	28.35	27.84	27.49	27.32	
27.62	27.82	28.21	28.79	29.53	30.43	31.44	32.53	33.65	34.76	35.79	36.70	37.43	37.95	38.21	38.21	37.95	37.43	36.70	35.79	34.76	33.65	32.53	31.44	30.43	29.53	28.79	28.21	27.82	27.62	
27.90	28.12	28.55	29.19	30.01	31.00	32.12	33.33	34.57	35.79	36.94	37.94	38.75	39.32	39.61	39.61	39.32	38.75	37.94	36.94	35.79	34.57	33.33	32.12	31.00	30.01	29.19	28.55	28.12	27.90	
28.14	28.38	28.85	29.54	30.44	31.51	32.72	34.03	35.37	36.70	37.94	39.03	39.91	40.52	40.84	40.84	40.52	39.91	39.03	37.94	36.70	35.37	34.03	32.72	31.51	30.44	29.54	28.85	28.38	28.14	
28.34	28.59	29.09	29.83	30.78	31.92	33.20	34.59	36.02	37.43	38.75	39.91	40.84	41.49	41.83	41.83	41.49	40.84	39.91	38.75	37.43	36.02	34.59	33.20	31.92	30.78	29.83	29.09	28.59	28.34	
28.48	28.74	29.26	30.03	31.02	32.20	33.54	34.99	36.48	37.95	39.32	40.52	41.49	42.17	42.52	42.52	42.17	41.49	40.52	39.32	37.95	36.48	34.99	33.54	32.20	31.02	30.03	29.26	28.74	28.48	
28.55	28.82	29.35	30.13	31.14	32.35	33.72	35.19	36.71	38.21	39.61	40.84	41.83	42.52	42.88	42.88	42.52	41.83	40.84	39.61	38.21	36.71	35.19	33.72	32.35	31.14	30.13	29.35	28.82	28.55	
28.55	28.82	29.35	30.13	31.14	32.35	33.72	35.19	36.71	38.21	39.61	40.84	41.83	42.52	42.88	42.88	42.52	41.83	40.84	39.61	38.21	36.71	35.19	33.72	32.35	31.14	30.13	29.35	28.82	28.55	
28.48	28.74	29.26	30.03	31.02	32.20	33.54	34.99	36.48	37.95	39.32	40.52	41.49	42.17	42.52	42.52	42.17	41.49	40.52	39.32	37.95	36.48	34.99	33.54	32.20	31.02	30.03	29.26	28.74	28.48	
28.34	28.59	29.09	29.83	30.78	31.92	33.20	34.59	36.02	37.43	38.75	39.91	40.84	41.49	41.83	41.83	41.49	40.84	39.91	38.75	37.43	36.02	34.59	33.20	31.92	30.78	29.83	29.09	28.59	28.34	
28.14	28.38	28.85	29.54	30.44	31.51	32.72	34.03	35.37	36.70	37.94	39.03	39.91	40.52	40.84	40.84	40.52	39.91	39.03	37.94	36.70	35.37	34.03	32.72	31.51	30.44	29.54	28.85	28.38	28.14	
27.90	28.12	28.55	29.19	30.01	31.00	32.12	33.33	34.57	35.79	36.94	37.94	38.75	39.32	39.61	39.61	39.32	38.75	37.94	36.94	35.79	34.57	33.33	32.12	31.00	30.01	29.19	28.55	28.12	27.90	
27.62	27.82	28.21	28.79	29.53	30.43	31.44	32.53	33.65	34.76	35.79	36.70	37.43	37.95	38.21	38.21	37.95	37.43	36.70	35.79	34.76	33.65	32.53	31.44	30.43	29.53	28.79	28.21	27.82	27.62	
27.32	27.49	27.84	28.35	29.02	29.81	30.70	31.67	32.67	33.65	34.57	35.37	36.02	36.48	36.71	36.71	36.48	36.02	35.37	34.57	33.65	32.67	31.67	30.70	29.81	29.02	28.35	27.84	27.49	27.32	
27.02	27.17	27.47	27.92	28.49	29.18	29.96	30.80	31.67	32.53	33.33	34.03	34.59	34.99	35.19	35.19	34.99	34.59	34.03	33.33	32.53	31.67	30.80	29.96	29.18	28.49	27.92	27.47	27.17	27.02	
26.72	26.85	27.11	27.49	27.98	28.57	29.24	29.96	30.70	31.44	32.12	32.72	33.20	33.54	33.72	33.72	33.54	33.20	32.72	32.12	31.44	30.70	29.96	29.24	28.57	27.98	27.49	27.11	26.85	26.72	
26.45	26.56	26.78	27.10	27.51	28.01	28.57	29.18	29.81	30.43	31.00	31.51	31.92	32.20	32.35	32.35	32.20	31.92	31.51	31.00	30.43	29.81	29.18	28.57	28.01	27.51	27.10	26.78	26.56	26.45	
26.21	26.30	26.48	26.75	27.10	27.51	27.98	28.49	29.02	29.53	30.01	30.44	30.78	31.02	31.14	31.14	31.02	30.78	30.44	30.01	29.53	29.02	28.49	27.98	27.51	27.10	26.75	26.48	26.30	26.21	
26.01	26.08	26.24	26.46	26.75	27.10	27.49	27.92	28.35	28.79	29.19	29.54	29.83	30.03	30.13	30.13	30.03	29.83	29.54	29.19	28.79	28.35	27.92	27.49	27.10	26.75	26.46	26.24	26.08	26.01	
